model,task,condition,prompt_chars,input_tokens,output_tokens,reasoning_tokens,response_chars,duration_ms,t6_correct,note
opus,t1_bugs,c1_baseline,1900,16646,1297,247,2804,15366,,
opus,t1_bugs,c2_detailed,2256,16760,1151,238,2390,13240,,
opus,t1_bugs,c3_caveman,2126,16750,806,189,1652,10676,,
opus,t1_bugs,c4_html,2046,16696,4926,376,10863,50368,,
opus,t1_bugs,c6_hardcap,2122,16739,258,0,639,4245,,
opus,t1_bugs,c7_spr,1949,16678,1047,213,2135,12386,,
opus,t2_tests,c1_baseline,1770,16651,6107,2717,8116,65116,,
opus,t2_tests,c2_detailed,2146,16781,5643,3408,5188,69992,,
opus,t2_tests,c3_caveman,1996,35356,4010,2140,3696,50046,,
opus,t2_tests,c4_html,1916,16701,12091,4160,17389,131010,,
opus,t2_tests,c6_hardcap,1992,16744,1544,791,1551,20125,,
opus,t2_tests,c7_spr,1836,16689,6997,2625,9847,75774,,
opus,t3_legal,c1_baseline,3114,17364,1444,30,4060,19084,,
opus,t3_legal,c2_detailed,3657,17543,1505,183,3974,24379,,
opus,t3_legal,c3_caveman,3340,17468,1076,0,2642,17472,,
opus,t3_legal,c4_html,3260,17414,6741,18,16407,67505,,
opus,t3_legal,c6_hardcap,3336,17457,570,0,1559,7444,,
opus,t3_legal,c7_spr,2593,17169,1259,18,3503,16431,,
opus,t4_meeting,c1_baseline,3715,17382,759,0,1780,8297,,
opus,t4_meeting,c2_detailed,4082,17519,839,0,2082,9645,,
opus,t4_meeting,c3_caveman,3941,17486,682,0,1488,8536,,
opus,t4_meeting,c4_html,3861,34864,3607,0,8295,115886,,
opus,t4_meeting,c6_hardcap,3937,17475,382,0,863,4963,,
opus,t4_meeting,c7_spr,3221,17277,897,0,2119,9749,,
opus,t5_extract,c1_baseline,1638,16621,201,0,398,2649,,
opus,t5_extract,c2_detailed,1947,16734,160,0,334,2482,,
opus,t5_extract,c3_caveman,1864,16725,160,0,334,3110,,
opus,t5_extract,c4_html,1784,16671,2147,0,4819,20343,,
opus,t5_extract,c6_hardcap,1860,16714,160,0,334,3349,,
opus,t5_extract,c7_spr,1590,16632,160,0,333,2343,,
opus,t6_math,c1_baseline,1030,16320,479,182,548,6617,yes,
opus,t6_math,c2_detailed,1357,16450,546,218,613,6087,yes,
opus,t6_math,c3_caveman,1256,16424,455,148,545,6714,yes,
opus,t6_math,c4_html,1176,16370,2807,197,5576,28290,yes,
opus,t6_math,c6_hardcap,1252,16413,254,104,238,4946,yes,
opus,t6_math,c7_spr,908,16304,437,178,470,5342,yes,
sonnet,t1_bugs,c1_baseline,1900,16708,1093,0,2910,11058,,
sonnet,t1_bugs,c2_detailed,2256,16822,1640,549,2787,17515,,
sonnet,t1_bugs,c3_caveman,2126,16812,713,0,1717,7904,,
sonnet,t1_bugs,c4_html,2046,16758,2089,0,4933,18860,,
sonnet,t1_bugs,c6_hardcap,2122,16801,416,0,1085,5214,,
sonnet,t1_bugs,c7_spr,1949,16740,1296,341,2667,14199,,
sonnet,t2_tests,c1_baseline,1770,35173,3702,1656,4589,70964,,
sonnet,t2_tests,c2_detailed,2146,16843,5942,3296,5950,61948,,
sonnet,t2_tests,c3_caveman,1996,34834,2784,1109,3239,29572,,
sonnet,t2_tests,c4_html,1916,16763,5899,2147,8298,57320,,
sonnet,t2_tests,c6_hardcap,1992,16806,1410,752,1389,15902,,
sonnet,t2_tests,c7_spr,1836,35016,3742,1439,4786,37859,,
sonnet,t3_legal,c1_baseline,3114,17426,1270,0,3774,15908,,
sonnet,t3_legal,c2_detailed,3657,17605,1286,0,3965,15715,,
sonnet,t3_legal,c3_caveman,3340,17530,996,0,2569,13726,,
sonnet,t3_legal,c4_html,3260,17476,2963,0,7279,28239,,
sonnet,t3_legal,c6_hardcap,3336,17519,471,0,1337,5641,,
sonnet,t3_legal,c7_spr,2593,17231,1755,229,4466,19359,,
sonnet,t4_meeting,c1_baseline,3715,17444,905,0,2222,8466,,
sonnet,t4_meeting,c2_detailed,4082,17581,950,0,2446,9632,,
sonnet,t4_meeting,c3_caveman,3941,17548,608,0,1337,6462,,
sonnet,t4_meeting,c4_html,3861,17494,1822,0,3880,14351,,
sonnet,t4_meeting,c6_hardcap,3937,17537,391,0,857,4212,,
sonnet,t4_meeting,c7_spr,3221,17339,1119,0,2716,10217,,
sonnet,t5_extract,c1_baseline,1638,16683,160,0,334,2204,,
sonnet,t5_extract,c2_detailed,1947,16796,160,0,334,1924,,
sonnet,t5_extract,c3_caveman,1864,16787,160,0,334,2445,,
sonnet,t5_extract,c4_html,1784,16733,768,0,1600,5894,,
sonnet,t5_extract,c6_hardcap,1860,16776,160,0,334,1862,,
sonnet,t5_extract,c7_spr,1590,16694,160,0,333,2159,,
sonnet,t6_math,c1_baseline,1030,16382,265,0,476,3294,yes,
sonnet,t6_math,c2_detailed,1357,16512,345,0,667,3808,yes,
sonnet,t6_math,c3_caveman,1256,16486,235,0,401,3266,yes,
sonnet,t6_math,c4_html,1176,16432,1476,273,2481,12995,yes,
sonnet,t6_math,c6_hardcap,1252,16475,213,0,368,2961,yes,
sonnet,t6_math,c7_spr,908,16366,291,0,553,3745,yes,
